,opendate,trade,changeratio,turnover,netamount,ratioamount,r0_net,r0_ratio,r0x_ratio,cnt_r0x_ratio,cate_ra,cate_na,close,high,low,open,yest,volumn,amount,total,circul
0,2019-12-11,11.39,0.00175901,23.0345,-7713593.65,-0.0703002,-3432300.0,-0.03128131,-86.7815,-5,0.00162557,10491235.324,11.39,11.48,11.36,11.4,11.37,9668011,110336460.0,48147007590.5,47539945637.1
1,2019-12-10,11.37,-0.0069869,19.7293,-3376122.06,-0.0360696,-630836.22,-0.00673969,-136.032,-4,0.0621319,332841944.819,11.37,11.45,11.31,11.44,11.45,8234694,93600123.0,48062464996.0,47456468998.6
2,2019-12-09,11.45,-0.00434783,21.3397,-4131108.6,-0.0405414,-1172230.0,-0.0115039,-110.704,-3,-0.0691752,-366976420.05,11.45,11.51,11.4,11.5,11.5,8906819,101898466.0,48400635374.2,47790375552.7
3,2019-12-06,11.5,-0.031171,61.4174,-69069546.19,-0.232592,-31713296.01,-0.10679472,-106.271,-2,0.0334363,160936008.441,11.5,11.85,11.38,11.8,11.87,25938486,300450503.0,48611991860.5,47999067149.0
4,2019-12-05,11.87,-0.00419463,42.4424,-54318992.81,-0.258102,-8004791.0,-0.0380356,-96.2932,-1,0.0424072,188990690.39,11.87,12.0,11.78,11.94,11.92,17714724,210455233.0,50176029859.5,49543384961.6
5,2019-12-04,11.92,-0.00500835,7.81836,-4460994.78,-0.114712,1099293.0,0.02826767,100.047,1,-0.0513949,-161550348.398,11.92,11.97,11.89,11.92,11.98,3263254,38888697.0,50387386345.8,49752076557.9
6,2019-12-03,11.98,-0.00166667,11.6045,329545.06,0.00570788,-1126446.0,-0.0195106,-94.8826,-2,0.0567821,200486525.16,11.98,11.99,11.81,11.85,12.0,4843529,57735065.0,50641014129.5,50002506473.5
7,2019-12-02,12.0,0.0041841,18.6529,-5616964.97,-0.0599828,-4557543.0,-0.04866936,-85.0864,-1,0.00190828,7133699.06,12.0,12.2,11.95,12.2,11.95,7785400,93642962.0,50725556724.0,50085983112.0
8,2019-11-29,11.95,0.00420168,10.4885,11431913.79,0.218397,1650028.0,0.03152235,82.4077,2,-0.0314947,-112283998.562,11.95,12.02,11.89,11.92,11.9,4377703,52344708.0,50514200237.7,49877291515.7
9,2019-11-28,11.9,-0.00251467,6.91784,-3261447.42,-0.0950661,1166400.0,0.01701321,180.0,1,0.080004,324367252.75,11.9,11.96,11.85,11.9,11.93,2975690,35357942.0,50302843751.3,49668599919.4
10,2019-11-27,11.93,-0.0156766,13.7264,-7555901.62,-0.110211,1166400.0,0.01701321,132.659,1,-0.0533671,-177251168.008,11.93,12.04,11.91,12.01,12.12,5729169,68558488.0,50429657643.1,49793814877.2
11,2019-11-26,11.95,-0.00416667,14.9072,-17962070.0,-0.241508,-1052318.61,-0.01414886,-106.409,-1,-0.0085453,-20625517.2,12.12,12.12,11.87,12.03,12.0,10250020,123194151.0,51232812291.2,50586842943.1
